domain,receiver_email,email,notes,scrape_source
digitalnomadshq.com.au,hello@dnhq.com.au,hello@dnhq.com.au,score=100; band=tier_a; delivery=valid; source=https://digitalnomadshq.com.au/,site_page
fabricpandit.com,hello@fabricpandit.com,hello@fabricpandit.com,score=77; band=tier_c; delivery=valid; source=https://fabricpandit.com/,pattern_inferred
fashionistamna.com,hello@fashionistamna.com,hello@fashionistamna.com,score=46; band=tier_c; delivery=unknown; source=https://www.fashionistamna.com/,pattern_inferred
fireboltt.com,hello@fireboltt.com,hello@fireboltt.com,score=46; band=tier_c; delivery=unknown; source=https://www.fireboltt.com/,pattern_inferred
frenchcrown.in,contact@frenchcrown.com,contact@frenchcrown.com,score=100; band=tier_a; delivery=valid; source=https://frenchcrown.in/,site_page
giva.co,hello@giva.co,hello@giva.co,score=77; band=tier_c; delivery=valid; source=https://www.giva.co/,pattern_inferred
glenindia.com,hello@glenindia.com,hello@glenindia.com,score=77; band=tier_c; delivery=valid; source=https://glenindia.com/,pattern_inferred
gonoise.com,amoled.watches@gonoise.com,amoled.watches@gonoise.com,score=67; band=tier_c; delivery=valid; source=https://www.gonoise.com/,pattern_inferred
guduchiayurveda.com,hello@guduchiayurveda.com,hello@guduchiayurveda.com,score=77; band=tier_c; delivery=valid; source=https://guduchiayurveda.com/,pattern_inferred
gynoveda.com,business@gynoveda.in,business@gynoveda.in,score=98; band=tier_a; delivery=valid; source=https://shop.gynoveda.com/products/fertility-support-ovulation-for-pregnancy,site_page
hammeronline.in,hello@hammeronline.in,hello@hammeronline.in,score=77; band=tier_c; delivery=valid; source=https://hammeronline.in/,pattern_inferred
happilo.com,hello@happilo.com,hello@happilo.com,score=77; band=tier_c; delivery=valid; source=https://happilo.com/,pattern_inferred
headphonezone.in,hello@headphonezone.in,hello@headphonezone.in,score=77; band=tier_c; delivery=valid; source=https://www.headphonezone.in/,pattern_inferred
headsupfortails.com,hello@headsupfortails.com,hello@headsupfortails.com,score=77; band=tier_c; delivery=valid; source=https://headsupfortails.com/,pattern_inferred
himalayawellness.in,hello@himalayawellness.in,hello@himalayawellness.in,score=77; band=tier_c; delivery=valid; source=https://himalayawellness.in/,pattern_inferred
houseofmasaba.com,hello@houseofmasaba.com,hello@houseofmasaba.com,score=77; band=tier_c; delivery=valid; source=https://www.houseofmasaba.com/,pattern_inferred
imagineonline.store,hello@imagineonline.store,hello@imagineonline.store,score=77; band=tier_c; delivery=valid; source=https://www.imagineonline.store/,pattern_inferred
indiahemporganics.com,hello@indiahemporganics.com,hello@indiahemporganics.com,score=77; band=tier_c; delivery=valid; source=https://indiahemporganics.com/,pattern_inferred
itokri.com,hello@itokri.com,hello@itokri.com,score=77; band=tier_c; delivery=valid; source=https://itokri.com/,pattern_inferred
jhajistore.com,hello@jhajistore.com,hello@jhajistore.com,score=77; band=tier_c; delivery=valid; source=https://www.jhajistore.com/,pattern_inferred
juicychemistry.com,sales@juicychemistry.com,sales@juicychemistry.com,score=100; band=tier_a; delivery=valid; source=https://juicychemistry.com/,site_page
kharakapas.com,hello@kharakapas.com,hello@kharakapas.com,score=100; band=tier_a; delivery=valid; source=https://kharakapas.com/,site_page
kidstudio.in,hello@kidstudio.in,hello@kidstudio.in,score=46; band=tier_c; delivery=unknown; source=https://kidstudio.in/,pattern_inferred
lakmeindia.com,hello@lakmeindia.com,hello@lakmeindia.com,score=77; band=tier_c; delivery=valid; source=https://www.lakmeindia.com/,pattern_inferred
libas.in,hello@libas.in,hello@libas.in,score=77; band=tier_c; delivery=valid; source=https://www.libas.in/,pattern_inferred
livingwords.in,hello@livingwords.in,hello@livingwords.in,score=77; band=tier_c; delivery=valid; source=https://livingwords.in/,pattern_inferred
mcaffeine.com,hello@mcaffeine.com,hello@mcaffeine.com,score=77; band=tier_c; delivery=valid; source=https://www.mcaffeine.com/,pattern_inferred
motocentral.in,hello@motocentral.in,hello@motocentral.in,score=77; band=tier_c; delivery=valid; source=https://motocentral.in/,pattern_inferred
neemans.com,neemans.tracker@neemans.com,neemans.tracker@neemans.com,score=67; band=tier_c; delivery=valid; source=https://neemans.com/,pattern_inferred
nestasia.in,hello@nestasia.in,hello@nestasia.in,score=77; band=tier_c; delivery=valid; source=https://nestasia.in/,pattern_inferred
nestatoys.in,hello@nestatoys.in,hello@nestatoys.in,score=77; band=tier_c; delivery=valid; source=https://nestatoys.in/,pattern_inferred
nicobar.com,hello@nicobar.com,hello@nicobar.com,score=77; band=tier_c; delivery=valid; source=https://www.nicobar.com/,pattern_inferred
nurserylive.com,hello@nurserylive.com,hello@nurserylive.com,score=77; band=tier_c; delivery=valid; source=https://nurserylive.com/,pattern_inferred
okhai.org,hello@okhai.org,hello@okhai.org,score=77; band=tier_c; delivery=valid; source=https://okhai.org/,pattern_inferred
onezeros.in,hello@onezeros.in,hello@onezeros.in,score=77; band=tier_c; delivery=valid; source=https://www.onezeros.in/,pattern_inferred
oyehappy.com,hello@oyehappy.com,hello@oyehappy.com,score=77; band=tier_c; delivery=valid; source=https://www.oyehappy.com/,pattern_inferred
oziva.in,hello@oziva.in,hello@oziva.in,score=77; band=tier_c; delivery=valid; source=https://www.oziva.in/,pattern_inferred
plumgoodness.com,hello@plumgoodness.com,hello@plumgoodness.com,score=100; band=tier_a; delivery=valid; source=https://plumgoodness.com/,site_page
popitout.in,hello@popitout.in,hello@popitout.in,score=77; band=tier_c; delivery=valid; source=https://popitout.in/,pattern_inferred
portronics.com,hello@portronics.com,hello@portronics.com,score=77; band=tier_c; delivery=valid; source=https://www.portronics.com/,pattern_inferred
ptron.in,hello@ptron.in,hello@ptron.in,score=77; band=tier_c; delivery=valid; source=https://ptron.in/,pattern_inferred
ragecoffee.com,hello@ragecoffee.com,hello@ragecoffee.com,score=77; band=tier_c; delivery=valid; source=https://ragecoffee.com/,pattern_inferred
rasoishop.com,translation.engeneralbreadcrumbhome@rasoishop.com,translation.engeneralbreadcrumbhome@rasoishop.com,score=67; band=tier_c; delivery=valid; source=https://www.rasoishop.com/,pattern_inferred
reequil.com,hello@reequil.com,hello@reequil.com,score=77; band=tier_c; delivery=valid; source=https://www.reequil.com/,pattern_inferred
saralhome.com,hello@saralhome.com,hello@saralhome.com,score=77; band=tier_c; delivery=valid; source=https://saralhome.com/,pattern_inferred
scitron.com,hello@scitron.com,hello@scitron.com,score=77; band=tier_c; delivery=valid; source=https://scitron.com/,pattern_inferred
skinkraft.com,hello@skinkraft.com,hello@skinkraft.com,score=77; band=tier_c; delivery=valid; source=https://skinkraft.com/,pattern_inferred
sleepyowl.co,business@sleepyowl.co,business@sleepyowl.co,score=100; band=tier_a; delivery=valid; source=https://sleepyowl.co/pages/contact,site_page
studdmuffyn.com,hello@studdmuffyn.com,hello@studdmuffyn.com,score=77; band=tier_c; delivery=valid; source=https://studdmuffyn.com/,pattern_inferred
suhanipittie.com,hello@suhanipittie.com,hello@suhanipittie.com,score=77; band=tier_c; delivery=valid; source=https://suhanipittie.com/,pattern_inferred
supertails.com,hello@supertails.com,hello@supertails.com,score=77; band=tier_c; delivery=valid; source=https://supertails.com/,pattern_inferred
support.boat-lifestyle.com,hello@support.boat-lifestyle.com,hello@support.boat-lifestyle.com,score=46; band=tier_c; delivery=unknown; source=https://support.boat-lifestyle.com/,pattern_inferred
suta.in,hello@suta.in,hello@suta.in,score=77; band=tier_c; delivery=valid; source=https://suta.in/,pattern_inferred
swissbeauty.in,hello@swissbeauty.in,hello@swissbeauty.in,score=77; band=tier_c; delivery=valid; source=https://swissbeauty.in/,pattern_inferred
tableandtwist.in,hello@tableandtwist.in,hello@tableandtwist.in,score=46; band=tier_c; delivery=unknown; source=https://tableandtwist.in/,pattern_inferred
theartment.com,hello@theartment.com,hello@theartment.com,score=100; band=tier_a; delivery=valid; source=https://theartment.com/,site_page
theflexnest.com,hello@theflexnest.com,hello@theflexnest.com,score=77; band=tier_c; delivery=valid; source=https://www.theflexnest.com/,pattern_inferred
thejodilife.com,hello@thejodilife.com,hello@thejodilife.com,score=77; band=tier_c; delivery=valid; source=https://thejodilife.com/,pattern_inferred
thenestery.in,hello@thenestery.in,hello@thenestery.in,score=77; band=tier_c; delivery=valid; source=https://thenestery.in/,pattern_inferred
traya.health,hello@traya.health,hello@traya.health,score=77; band=tier_c; delivery=valid; source=https://traya.health/,pattern_inferred
truefrog.in,hello@truefrog.in,hello@truefrog.in,score=77; band=tier_c; delivery=valid; source=https://truefrog.in/,pattern_inferred
tsco.co.in,hello@tsco.co.in,hello@tsco.co.in,score=77; band=tier_c; delivery=valid; source=https://tsco.co.in/,pattern_inferred
twobrothersindiashop.com,hello@twobrothersindiashop.com,hello@twobrothersindiashop.com,score=46; band=tier_c; delivery=unknown; source=https://twobrothersindiashop.com/,pattern_inferred
urbanmonkey.com,hello@urbanmonkey.com,hello@urbanmonkey.com,score=100; band=tier_a; delivery=valid; source=https://www.urbanmonkey.com/,site_page
vashiisl.com,hello@vashiisl.com,hello@vashiisl.com,score=77; band=tier_c; delivery=valid; source=https://vashiisl.com/,pattern_inferred
vecras.com,hello@vecras.com,hello@vecras.com,score=77; band=tier_c; delivery=valid; source=https://vecras.com/,pattern_inferred
vedix.com,hello@vedix.com,hello@vedix.com,score=77; band=tier_c; delivery=valid; source=https://vedix.com/,pattern_inferred
veeba.in,hello@veeba.in,hello@veeba.in,score=100; band=tier_a; delivery=valid; source=https://veeba.in/,site_page
wallmantra.com,hello@allmantra.com,hello@allmantra.com,score=21; band=tier_d; delivery=unknown; source=https://wallmantra.com/,pattern_inferred
websource.co,hello@ebsource.co,hello@ebsource.co,score=21; band=tier_d; delivery=unknown; source=https://websource.co/,pattern_inferred
xyxxcrew.com,hello@xyxxcrew.com,hello@xyxxcrew.com,score=77; band=tier_c; delivery=valid; source=https://xyxxcrew.com/,pattern_inferred
yogabars.in,hello@yogabars.in,hello@yogabars.in,score=100; band=tier_a; delivery=valid; source=https://www.yogabars.in/,site_page
yourlibaas.com,hello@yourlibaas.com,hello@yourlibaas.com,score=77; band=tier_c; delivery=valid; source=https://www.yourlibaas.com/,pattern_inferred
10by10.io,hello@10by10.io,hello@10by10.io,score=77; band=tier_c; delivery=valid; source=https://www.10by10.io/,pattern_inferred
140proof.com,hello@140proof.com,hello@140proof.com,score=77; band=tier_c; delivery=valid; source=https://140proof.com/,pattern_inferred
15five.com,hello@15five.com,hello@15five.com,score=77; band=tier_c; delivery=valid; source=https://www.15five.com/,pattern_inferred
21tech.com,contact@21tech.com,contact@21tech.com,score=100; band=tier_a; delivery=valid; source=https://21tech.com/,site_page
23andme.com,hello@23andme.com,hello@23andme.com,score=77; band=tier_c; delivery=valid; source=https://23andme.com/,pattern_inferred
2600hz.com,contact@2600hz.com,contact@2600hz.com,score=100; band=tier_a; delivery=valid; source=https://www.2600hz.com/,site_page
80twenty.com,hello@80twenty.com,hello@80twenty.com,score=77; band=tier_c; delivery=valid; source=https://www.80twenty.com/,pattern_inferred
99designs.com,sales@99designs.com,sales@99designs.com,score=100; band=tier_a; delivery=valid; source=https://99designs.com/logo-design,site_page
goabstract.com,hello@goabstract.com,hello@goabstract.com,score=77; band=tier_c; delivery=valid; source=https://www.goabstract.com/,pattern_inferred
accenture.com,accenture.change@accenture.com,accenture.change@accenture.com,score=67; band=tier_c; delivery=valid; source=https://www.accenture.com/us-en,pattern_inferred
addepar.com,hello@addepar.com,hello@addepar.com,score=77; band=tier_c; delivery=valid; source=https://addepar.com/,pattern_inferred
moka.care,hello@moka.care,hello@moka.care,score=77; band=tier_c; delivery=valid; source=https://www.moka.care/,pattern_inferred
cloud.google.com,marketing-studio-cloud-regional-pmms@google.com,marketing-studio-cloud-regional-pmms@google.com,score=100; band=tier_a; delivery=valid; source=https://cloud.google.com/,site_page
islaregalos.com,hello@islaregalos.com,hello@islaregalos.com,score=46; band=tier_c; delivery=unknown; source=https://islaregalos.com/en,pattern_inferred
gptbots.ai,sales@gptbots.ai,sales@gptbots.ai,score=100; band=tier_a; delivery=valid; source=https://www.gptbots.ai/company/about-us,site_page
luckydiem.com,example@mysite.com,example@mysite.com,score=90; band=tier_b; delivery=valid; source=https://www.luckydiem.com/,site_page
miro.com,hello@miro.com,hello@miro.com,score=77; band=tier_c; delivery=valid; source=https://miro.com/,pattern_inferred
affordhunt.com,istudio.singapore@affordhunt.com,istudio.singapore@affordhunt.com,score=67; band=tier_c; delivery=valid; source=https://affordhunt.com/,pattern_inferred
bigvu.tv,hello@bigvu.tv,hello@bigvu.tv,score=77; band=tier_c; delivery=valid; source=https://bigvu.tv/,pattern_inferred
printrash.in,hello@printrash.in,hello@printrash.in,score=46; band=tier_c; delivery=unknown; source=https://printrash.in/,pattern_inferred
ribuy.in,hello@ribuy.in,hello@ribuy.in,score=46; band=tier_c; delivery=unknown; source=https://ribuy.in/,pattern_inferred
securebuy.in,hello@securebuy.in,hello@securebuy.in,score=46; band=tier_c; delivery=unknown; source=https://securebuy.in/,pattern_inferred
8tracks.com,hello@8tracks.com,hello@8tracks.com,score=77; band=tier_c; delivery=valid; source=https://8tracks.com/,pattern_inferred
ablschools.com,hello@ablschools.com,hello@ablschools.com,score=77; band=tier_c; delivery=valid; source=https://ablschools.com/,pattern_inferred
accela.com,hello@accela.com,hello@accela.com,score=77; band=tier_c; delivery=valid; source=https://accela.com/,pattern_inferred
adeccogroup.com,globalprivacy@adeccogroup.com,globalprivacy@adeccogroup.com,score=100; band=tier_a; delivery=valid; source=https://www.adeccogroup.com/privacy-policy,site_page
admitsee.com,error-lite@duckduckgo.com,error-lite@duckduckgo.com,score=80; band=tier_b; delivery=valid; source=https://duckduckgo.com/html/?q=site%3Aadmitsee.com+%22%40admitsee.com%22,search_snippet
adobe.com,hello@adobe.com,hello@adobe.com,score=77; band=tier_c; delivery=valid; source=https://www.adobe.com/,pattern_inferred
adroll.com,hello@adroll.com,hello@adroll.com,score=77; band=tier_c; delivery=valid; source=https://www.adroll.com/,pattern_inferred
adstage.io,hello@adstage.io,hello@adstage.io,score=77; band=tier_c; delivery=valid; source=https://adstage.io/,pattern_inferred
advent.com,hello@archlabs.com,hello@archlabs.com,score=92; band=tier_b; delivery=valid; source=https://www.advent.com/about/partners/,site_page
adyen.com,ir@adyen.com,ir@adyen.com,score=100; band=tier_a; delivery=valid; source=https://www.adyen.com/contact/sales,site_page
aerotek.com,accommodation@aerotek.com,accommodation@aerotek.com,score=100; band=tier_a; delivery=valid; source=https://www.aerotek.com/en/career-opportunities,site_page
aeye.ai,hello@aeye.ai,hello@aeye.ai,score=77; band=tier_c; delivery=valid; source=https://aeye.ai/,pattern_inferred
affirm.com,hello@affirm.com,hello@affirm.com,score=77; band=tier_c; delivery=valid; source=https://www.affirm.com/,pattern_inferred
aftercollege.com,hello@aftercollege.com,hello@aftercollege.com,score=77; band=tier_c; delivery=valid; source=https://www.aftercollege.com/,pattern_inferred
airbnb.com,hello@airbnb.com,hello@airbnb.com,score=77; band=tier_c; delivery=valid; source=https://www.airbnb.com/,pattern_inferred
airtable.com,sales@airtable.com,sales@airtable.com,score=100; band=tier_a; delivery=valid; source=https://www.airtable.com/company/trust-and-security,site_page
alation.com,contactsales@alation.com,contactsales@alation.com,score=100; band=tier_a; delivery=valid; source=https://www.alation.com/,site_page
algolia.com,algolia@pancomm.com,algolia@pancomm.com,score=82; band=tier_b; delivery=valid; source=https://www.algolia.com/about/news,site_page
alpha-sense.com,media@alpha-sense.com,media@alpha-sense.com,score=100; band=tier_a; delivery=valid; source=https://www.alpha-sense.com/contact/,site_page
alwayshired.com,sales.services@alwayshired.com,sales.services@alwayshired.com,score=77; band=tier_c; delivery=valid; source=https://alwayshired.com/,pattern_inferred
ambient.ai,sales@ambient.ai,sales@ambient.ai,score=100; band=tier_a; delivery=valid; source=https://www.ambient.ai/,site_page
amplitude.com,sales@amplitude.com,sales@amplitude.com,score=100; band=tier_a; delivery=valid; source=https://amplitude.com/,site_page
angaza.com,esg@angaza.com,esg@angaza.com,score=100; band=tier_a; delivery=valid; source=https://www.angaza.com/sustainability-commitment/,site_page
anomali.com,recruiting@anomali.com,recruiting@anomali.com,score=100; band=tier_a; delivery=valid; source=https://www.anomali.com/company/careers,site_page
apollo.io,u003eprivacy@apollo.io,u003eprivacy@apollo.io,score=100; band=tier_a; delivery=valid; source=https://www.apollo.io/,site_page
appacademy.io,admissions@appacademy.io,admissions@appacademy.io,score=100; band=tier_a; delivery=valid; source=https://www.appacademy.io/contact-us/,site_page
appdirect.com,prforappdirect@bospar.com,prforappdirect@bospar.com,score=100; band=tier_a; delivery=valid; source=https://www.appdirect.com/about/contact,site_page
apple.com,hello@apple.com,hello@apple.com,score=77; band=tier_c; delivery=valid; source=https://www.apple.com/,pattern_inferred
appodeal.com,hi@appodeal.com,hi@appodeal.com,score=100; band=tier_a; delivery=valid; source=https://appodeal.com/terms-of-service/,site_page
getaptly.com,adam@getaptly.com,adam@getaptly.com,score=100; band=tier_a; delivery=valid; source=https://www.getaptly.com/api,site_page
art.com,art.type@art.com,art.type@art.com,score=67; band=tier_c; delivery=valid; source=https://www.art.com/,pattern_inferred
asana.com,x@mail.asana.com,x@mail.asana.com,score=100; band=tier_a; delivery=valid; source=https://asana.com/,site_page
askmediagroup.com,hello@askmediagroup.com,hello@askmediagroup.com,score=77; band=tier_c; delivery=valid; source=https://www.askmediagroup.com/,pattern_inferred
asus.com,legalcompliance@asus.com,legalcompliance@asus.com,score=100; band=tier_a; delivery=valid; source=https://www.asus.com/terms_of_use_notice_privacy_policy/official-site/,site_page
automattic.com,privacypolicyupdates@automattic.com,privacypolicyupdates@automattic.com,score=100; band=tier_a; delivery=valid; source=https://automattic.com/,site_page
avast.com,hello@avast.com,hello@avast.com,score=77; band=tier_c; delivery=valid; source=https://www.avast.com/en-us/index,pattern_inferred
avatier.com,sales@avatier.com,sales@avatier.com,score=100; band=tier_a; delivery=valid; source=https://www.avatier.com/contact-sales/,site_page
babycenter.com,community@babycenter.com,community@babycenter.com,score=100; band=tier_a; delivery=valid; source=https://www.babycenter.com/,site_page
babylist.com,dmca@babylist.com,dmca@babylist.com,score=100; band=tier_a; delivery=valid; source=https://www.babylist.com/terms,site_page
backerkit.com,hello@backerkit.com,hello@backerkit.com,score=77; band=tier_c; delivery=valid; source=https://www.backerkit.com/,pattern_inferred
barracuda.com,hello@barracuda.com,hello@barracuda.com,score=77; band=tier_c; delivery=valid; source=https://www.barracuda.com/,pattern_inferred
bedrockanalytics.com,careers@bedrockanalytics.com,careers@bedrockanalytics.com,score=100; band=tier_a; delivery=valid; source=https://www.bedrockanalytics.com/company/,site_page
beezwax.net,hello@beezwax.net,hello@beezwax.net,score=77; band=tier_c; delivery=valid; source=https://www.beezwax.net/,pattern_inferred
betterworks.com,press@betterworks.com,press@betterworks.com,score=100; band=tier_a; delivery=valid; source=https://www.betterworks.com/contact-us,site_page
bigcommerce.com,about.us@bigcommerce.com,about.us@bigcommerce.com,score=67; band=tier_c; delivery=valid; source=https://www.bigcommerce.com/,pattern_inferred
bitbucket.org,hello@bitbucket.org,hello@bitbucket.org,score=77; band=tier_c; delivery=valid; source=https://bitbucket.org/,pattern_inferred
bleacherreport.com,eric.pincus@gmail.com,eric.pincus@gmail.com,score=82; band=tier_b; delivery=valid; source=https://bleacherreport.com/nba,site_page
blend.com,press@blend.com,press@blend.com,score=100; band=tier_a; delivery=valid; source=https://blend.com/company/newsroom/,site_page
bluecrewjobs.com,copyright@bluecrewjobs.com,copyright@bluecrewjobs.com,score=100; band=tier_a; delivery=valid; source=https://www.bluecrewjobs.com/termsofuse,site_page
bluevine.com,u003esupport@bluevine.com,u003esupport@bluevine.com,score=100; band=tier_a; delivery=valid; source=https://www.bluevine.com/privacy-policy,site_page
blurb.com,datasubjectrequest@rpiprint.com,datasubjectrequest@rpiprint.com,score=82; band=tier_b; delivery=valid; source=https://www.blurb.com/privacy,site_page
box.com,hello@box.com,hello@box.com,score=77; band=tier_c; delivery=valid; source=https://www.box.com/,pattern_inferred
boxbot.io,boxbot.automation@boxbot.io,boxbot.automation@boxbot.io,score=67; band=tier_c; delivery=valid; source=https://www.boxbot.io/,pattern_inferred
bradfieldcs.com,hello@bradfieldcs.com,hello@bradfieldcs.com,score=77; band=tier_c; delivery=valid; source=https://bradfieldcs.com/,pattern_inferred
branch.co,india@branch.co,india@branch.co,score=100; band=tier_a; delivery=valid; source=https://branch.co/contact,site_page
brex.com,press@brex.com,press@brex.com,score=100; band=tier_a; delivery=valid; source=https://www.brex.com/contact-us,site_page
brightidea.com,nsupport@brightidea.com,nsupport@brightidea.com,score=100; band=tier_a; delivery=valid; source=https://www.brightidea.com/contact/,site_page
broadcom.com,hello@broadcom.com,hello@broadcom.com,score=77; band=tier_c; delivery=valid; source=https://www.broadcom.com/,pattern_inferred
broadly.com,nsupport@broadly.com,nsupport@broadly.com,score=100; band=tier_a; delivery=valid; source=https://broadly.com/contact-us/,site_page
bugcrowd.com,sales@bugcrowd.com,sales@bugcrowd.com,score=100; band=tier_a; delivery=valid; source=https://www.bugcrowd.com/about/contact/,site_page
buildingconnected.com,base.bricks@buildingconnected.com,base.bricks@buildingconnected.com,score=67; band=tier_c; delivery=valid; source=https://www.buildingconnected.com/,pattern_inferred
